"","sim","seed","effectSize","scSTM_noContent_Sample_cluster","scSTM_C_P_Time_cluster","scSTM_C_P_TandR_cluster","fastTopics_cluster","seurat_cluster","sctransform_cluster","monocle3_cluster"
"1","1726262160_effectSize0.1","1726262160","effectSize0.1",0.345750128512072,0.511631435886897,0.415403151877813,0.117729849678056,0.325810685693771,0.324981970769585,0.484707249457914
"2","1726262160_effectSize0.4","1726262160","effectSize0.4",0.345595214791113,0.505863519520417,0.505288048167076,0.118730623982425,0.320493868574139,0.32030052745748,0.482976700761572
"3","1726262160_effectSize0.7","1726262160","effectSize0.7",0.337442164562784,0.437438219494614,0.511597071685219,0.113406005134475,0.316757737870338,0.316271100352745,0.566324462856752
"4","1726262160_effectSize1","1726262160","effectSize1",0.341247977706709,0.519357459170851,0.519287167361552,0.113210447737777,0.313030574320601,0.3127347273914,0.455253890371398
"5","1726262169_effectSize0.1","1726262169","effectSize0.1",0.201437798284654,0.512241753650988,0.328157324135008,0.101133414798828,0.34267108500977,0.342052778563408,0.52027036832888
"6","1726262169_effectSize0.4","1726262169","effectSize0.4",0.197030714186253,0.428187300979118,0.368580285179811,0.0968810873225765,0.336413965273308,0.335915411811738,0.53849548609551
"7","1726262169_effectSize0.7","1726262169","effectSize0.7",0.201755907514885,0.351943662686685,0.337225471146946,0.0929025606418156,0.332472832266108,0.331972937124991,0.50133962499371
"8","1726262169_effectSize1","1726262169","effectSize1",0.204582053768385,0.479449002711765,0.367617746144405,0.0964523335172019,0.330204584092973,0.329703173975953,0.545611999182747
"9","1726262186_effectSize0.1","1726262186","effectSize0.1",0.12418292852363,0.282111611994947,0.181135993098089,0.098939819178543,0.298856317434173,0.298856317434173,0.563907361402278
"10","1726262186_effectSize0.4","1726262186","effectSize0.4",0.0997169160847642,0.240934436031707,0.307729563780063,0.0963180636064827,0.285756979242886,0.285756979242886,0.531122300980815
"11","1726262186_effectSize0.7","1726262186","effectSize0.7",NA,0.227544502444877,0.279581176025499,0.0936736558907367,0.277629692535059,0.277629692535059,0.505410240728258
"12","1726262186_effectSize1","1726262186","effectSize1",NA,0.322929791670776,0.17998864727882,0.0896966472689249,0.272397060297033,0.272397060297033,0.447052481380063
"13","1726262215_effectSize0.1","1726262215","effectSize0.1",NA,0.463999260939285,0.544107859106644,0.361626424234608,0.287826645920203,0.28744166486721,0.471824516944016
"14","1726262215_effectSize0.4","1726262215","effectSize0.4",NA,0.476795879146113,0.552748701120165,0.129155325388119,0.287026512078076,0.286887531587543,0.460823884380684
"15","1726262215_effectSize0.7","1726262215","effectSize0.7",NA,0.488531482621428,0.615802448695605,0.133596437371124,0.286514115281423,0.285591830043515,0.458328648645316
"16","1726262215_effectSize1","1726262215","effectSize1",NA,0.57213120248374,0.496585479825944,0.130791994598486,0.284862350908621,0.284669039365998,0.458575437628586
"17","1726262225_effectSize0.1","1726262225","effectSize0.1",NA,0.276561867902969,0.27317619879354,0.0726331699940616,0.289181380918199,0.28830910227813,0.484418256765596
"18","1726262225_effectSize0.4","1726262225","effectSize0.4",NA,0.150794888145453,0.214702174894746,0.0792140740674657,0.289652666568842,0.289283461328098,0.51509950255139
"19","1726262225_effectSize0.7","1726262225","effectSize0.7",NA,0.25283378265452,0.375450727423711,0.0826503733649039,0.290414651643224,0.290167795604627,0.504620318658103
"20","1726262225_effectSize1","1726262225","effectSize1",NA,0.321522129550868,0.246462062696143,0.0885372793134344,0.293567396888298,0.29332360687068,0.457331131578957
"21","1726262236_effectSize0.1","1726262236","effectSize0.1",NA,0.251606244609703,0.289778277422541,0.0663229740969591,0.278454728897073,0.278087363589063,0.527456151363482
"22","1726262236_effectSize0.4","1726262236","effectSize0.4",NA,0.378760311339356,0.35460847092048,0.0666725576485921,0.27783404520406,0.277615444011071,0.597438708548424
"23","1726262236_effectSize0.7","1726262236","effectSize0.7",NA,0.309196182047781,0.373698726806653,0.0553742321054753,0.277696052256981,0.277573539312897,0.603342295350292
"24","1726262236_effectSize1","1726262236","effectSize1",NA,0.364763662218535,0.448299615748486,0.0515394474553938,0.277529460960074,0.277270411845102,0.555889835104329
"25","1726262267_effectSize0.1","1726262267","effectSize0.1",NA,0.466751789046256,0.414949234623671,0.0943309412668876,0.302330466136838,0.301941053516991,0.687176732455575
"26","1726262267_effectSize0.4","1726262267","effectSize0.4",NA,0.383372202569745,0.335381885617018,0.0921329663286523,0.295812815458041,0.295578638918241,0.509774414946168
"27","1726262267_effectSize0.7","1726262267","effectSize0.7",NA,0.4368689291011,0.516192472232303,0.0963693171685003,0.291836452823522,0.291477250333629,0.644724166799268
"28","1726262267_effectSize1","1726262267","effectSize1",NA,0.431514754676093,0.398383451941748,0.108805053822697,0.288803497231485,0.288446935817801,0.608146683064846
"29","1726262284_effectSize0.1","1726262284","effectSize0.1",NA,0.384670393164764,0.281537671879452,0.0976589652392799,0.302578955368183,0.302153431013071,0.423777120015973
"30","1726262284_effectSize0.4","1726262284","effectSize0.4",NA,NA,0.410556291696367,0.0983571259408188,0.299420198627217,0.298969217190708,0.440989656991846
"31","1726262284_effectSize0.7","1726262284","effectSize0.7",NA,NA,0.293958286753834,0.0973936972974731,0.296708694748065,0.296382737642636,0.462459161822268
"32","1726262284_effectSize1","1726262284","effectSize1",NA,NA,0.27974937079643,0.0971927557687505,0.294367793932767,0.293679055626208,0.440577912832797
"33","1726262290_effectSize0.1","1726262290","effectSize0.1",NA,NA,0.417402138844933,0.11560887296999,0.294958132226912,0.294770835903149,0.394847764281221
"34","1726262290_effectSize0.4","1726262290","effectSize0.4",NA,NA,0.242467872213789,0.121189046229505,0.287737097457732,0.287539176677601,0.386965120991388
"35","1726262290_effectSize0.7","1726262290","effectSize0.7",NA,NA,0.294066674932181,0.118291563715138,0.283981860172073,0.284131526039027,0.383374778302927
"36","1726262290_effectSize1","1726262290","effectSize1",NA,NA,0.322189364452994,0.118243914008122,0.2829102539201,0.282720560448197,0.379132127066827
"37","1726262305_effectSize0.1","1726262305","effectSize0.1",NA,NA,0.37102669868738,0.239479039742961,0.340792842505093,0.340348774530707,0.629424771100453
"38","1726262305_effectSize0.4","1726262305","effectSize0.4",NA,NA,0.371976517809456,0.232014796343729,0.338002783663181,0.337522372731967,0.603824663244267
"39","1726262305_effectSize0.7","1726262305","effectSize0.7",NA,NA,0.382138897816207,0.176906216434962,0.33577811932695,0.335739672084697,0.607259186421252
"40","1726262305_effectSize1","1726262305","effectSize1",NA,NA,0.402814356191199,0.23243031341303,0.335518540429556,0.335535090240457,0.634810331902353
"41","1726262318_effectSize0.1","1726262318","effectSize0.1",NA,NA,0.332755986433349,NA,0.314801952544635,0.314741245274215,NA
"42","1726262318_effectSize0.4","1726262318","effectSize0.4",NA,NA,0.269941658151934,NA,0.309932144230246,0.30935691815374,NA
"43","1726262318_effectSize0.7","1726262318","effectSize0.7",NA,NA,0.296028587382532,NA,0.304920325935488,0.30483234326609,NA
"44","1726262318_effectSize1","1726262318","effectSize1",NA,NA,0.266875146353993,NA,0.304700929886737,0.304567523048503,NA
